Full name:;Short name;Headquarters;Description;Founded;Cellular Networks Installed;Supported Cellular Data Links;Cellular Network Operator;Covered Countries;Covered Regions
Straight Talk;ST;Miami, Florida;Brand of TracFone Wireless. Straight Talk is also a mobile virtual network operator (MVNO) utilizing Verizon Wireless, AT&T Mobility, T-Mobile USA and Sprint cellular networks;1996;GSM 850MHz (B5) , GSM 900MHz (B8) , GSM 1800MHz (B3) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 700 MHz (Band 13) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;Verizon Wireless;USA covered;
Telekom Slovakia;Telekom SK;Bratislava;Formerly EuroTel Bratislava, then T-Mobile Slovensko. Slovak Telekom is the fully owned subsidiary of Deutsche Telekom;1990;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Slovakia covered;
T-Mobile Polska;T-Mobile PL;Warsaw;On 5 June 2011 Era was renamed to T-Mobile Polska S.A. Parent organization: Deutsche Telekom since 2010;1996;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Poland covered;
Telekom Romania;Telekom RO;Bucharest;Earlier known as Romtelecom and Cosmote Romania;1998;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 900 MHz (Band 8) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Romania covered;
Etisalat UAE;Etisalat Telecommunication;Abu Dhabi;;1976;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Emirates (UAE) covered;
Telekom Slovenije;Telekom SI;Ljubljana;Subsidiary of Telekom Slovenije Group;1995;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 900 MHz (Band 8) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Slovenia covered;
Vodafone Romania;Vodafone RO;Bucharest;Founded as Connex GSM. Subsidiary of Vodafone Plc;1997;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Romania covered;
Boost Tel Pty Limited Australia;Boost Mobile AU;Sydney;Boost Mobile Australia is a mobile virtual network operator which uses the cellular network of Telstra;2000;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 850MHz (Band V, CLR) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , TD-LTE 2300 MHz (Band XL) , TD-LTE 3500 MHz (Band XLII) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;Telstra Corporation Limited;Australia , NZ covered;Australia
A1 Slovenija;A1 SI;Ljubljana;Subsidiary of A1 Telekom Austria (A1 Telekom Austria Group);1997;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Slovenia covered;
SmarTone Mobile Communications Limited;SmarTone;Hong Kong;;1992;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , CDMA 800MHz (BC0, 850) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 900 MHz (Band 8) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) data links;No;HK covered;
Tbaytel CA;Tbaytel;Thunder Bay;Formerly Thunder Bay Telephone Company;1902;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , LTE 2600 MHz (Band 7) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Canada covered;
A1 Vipnet;Vipnet HR;Zagreb;Subsidiary of A1 Telekom Austria (A1 Telekom Austria Group);1999;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Croatia covered;
Telekom Croatia;Telekom HR;Zagreb;Hrvatski Telekom d.d. is the subsidiary of Deutsche Telekom;1998;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Croatia covered;
Vivacom Bulgaria;Vivacom BG;Sofia;Bulgarian Telecommunications Company EAD (BTC) is the largest mobile operator in Bulgaria.;1992;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 900 MHz (Band 8) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Bulgaria covered;
A1 Bulgaria;A1 BG;Sofia;Previously known as Mtel / Mobiltel;1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Bulgaria covered;
Telenor Bulgaria;Telenor BG;Sofia;Formerly known as Cosmo Bulgaria Mobile and Globul.;2001;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Bulgaria covered;
Telenor Norway;Telenor NO;Fornebu;Telenor ASA;1970;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Norway covered;
